commenter_co,commenter_movie,commenter_name,commenter_page,commenter_star,commenter_time,commenter_zan
" 勇宝强势插入，但只来得及做二维，且故事太北方；片长对小孩算适中，最后一段复述情节略敷衍；问答部分全场小孩都很投入，有点幼儿园教室的感觉，也很适合几十座小影厅下午排期做亲子场，看完刚好离场吃晚饭；歌曲没有配中文版小孩不一定懂
        ",托马斯大电影之了不起的比赛 短评,逆风飞扬,https://www.douban.com/people/slowlycontinue/,推荐,"
                    2017-09-23
                ",3
" 面部表情僵化，只会动眼珠子，台词就那么几句，小孩子也不是这么糊弄的
        ",托马斯大电影之了不起的比赛 短评,气质哥,https://www.douban.com/people/154596149/,很差,"
                    2017-09-19
                ",11
" 开头中国火车植入太强，最后有种坐在幼儿园教室的感觉。剧情啰嗦，但色彩好美。
        ",托马斯大电影之了不起的比赛 短评,mumudancing,https://www.douban.com/people/mumudancing/,还行,"
                    2017-09-24
                ",5
" 中国火车头勇宝竟然没得冠军！
        ",托马斯大电影之了不起的比赛 短评,大黑骡子,https://www.douban.com/people/daheiluozi/,2017-09-23 23:49:50,,3
" 教条太多
        ",托马斯大电影之了不起的比赛 短评,jasper的迷姐,https://www.douban.com/people/159306302/,很差,"
                    2017-09-22
                ",1
" 小时候一度被托马斯吓到过
        ",托马斯大电影之了不起的比赛 短评,红藕香残玉簟秋,https://www.douban.com/people/127437486/,还行,"
                    2017-10-03
                ",2
" 外国的低龄动画也挺无聊的
        ",托马斯大电影之了不起的比赛 短评,梵目,https://www.douban.com/people/ifanmu/,较差,"
                    2017-10-10
                ",0
" 其实还蛮有意思的
        ",托马斯大电影之了不起的比赛 短评,丝丝细雨168,https://www.douban.com/people/140457119/,还行,"
                    2017-10-08
                ",1
" 小朋友喜欢
        ",托马斯大电影之了不起的比赛 短评,御剑乘风,https://www.douban.com/people/50560714/,推荐,"
                    2017-09-28
                ",1
" 陪女儿去看的
                
                ",托马斯大电影之了不起的比赛 短评,冬至,https://www.douban.com/people/Innerplant/,2017-09-29 02:02:40,,0
" 现在的引进电影没有点中国元素都不好意思跟国内观众打招呼。然而看到最后发现硬度是最大赢家……
        ",托马斯大电影之了不起的比赛 短评,就叫我铿爷吧,https://www.douban.com/people/liyucong/,还行,"
                    2017-10-05
                ",1
" 脸。。。有时候莫名丑萌
        ",托马斯大电影之了不起的比赛 短评,长歌行,https://www.douban.com/people/138633457/,还行,"
                    2017-10-01
                ",1
" 2017-9-23 Saturday 星星看的第一场电影。对于离火车头早已遥远的现代生活，不知道孩子们是否能够理解。不过能不吵不闹看完，看来还是很吸引他的。
        ",托马斯大电影之了不起的比赛 短评,包包,https://www.douban.com/people/shuiqi/,推荐,"
                    2017-09-25
                ",0
" 一直不喜欢这个动漫形象（单指画风），但是故事啊角色塑造都不错。
        ",托马斯大电影之了不起的比赛 短评,张菩菩,https://www.douban.com/people/2044324/,推荐,"
                    2017-10-01
                ",0
,托马斯大电影之了不起的比赛 短评,,,,,
,托马斯大电影之了不起的比赛 短评,,,,,
" 音乐好听的电影都不会差，彝族方言版的《蓝色卡拉萝》是今年电影院听到最好听的主题曲，没有之一了。
        ",昆塔：反转星球 短评,团小纸,https://www.douban.com/people/skymoto/,推荐,"
                    2017-09-29
                ",47
" 根本不欢乐  只有勇敢 没有智慧 剧情依然低龄单薄 制作和歌还不错 整体比阿唐奇遇差点  最后一部要翻身逆天才行了
        ",昆塔：反转星球 短评,澐趐,https://www.douban.com/people/wensiyu/,较差,"
                    2017-09-23
                ",13
" 剧作大框架完全按照好莱坞的结构来起承转合，也有看到小黄人、愤怒小鸟、怪兽大学的影子。就制作而言真的很良心了，当然差距依然存在，但我觉得不在于完成度，是成熟度。
        ",昆塔：反转星球 短评,levitating,https://www.douban.com/people/levitating/,还行,"
                    2017-09-17
                ",36
" 二头身阿凡达山寨片…打算后续开发游戏吗？
        ",昆塔：反转星球 短评,恶魔的步调,https://www.douban.com/people/Len./,还行,"
                    2017-10-01
                ",5
" 完全看不下去
        ",昆塔：反转星球 短评,凤影妮窝,https://www.douban.com/people/40424240/,很差,"
                    2017-10-01
                ",18
" 视觉效果极佳，反映出国产动画片的长足进步。故事是励志型，热血加勇气，战胜一切不可能……
        ",昆塔：反转星球 短评,风之影,https://www.douban.com/people/colorwind/,推荐,"
                    2017-09-17
                ",31
