commenter_co,commenter_movie,commenter_name,commenter_page,commenter_star,commenter_time,commenter_zan
" 脸。。。有时候莫名丑萌
        ",托马斯大电影之了不起的比赛 短评,长歌行,https://www.douban.com/people/138633457/,还行,"
                    2017-10-01
                ",1
" 2017-9-23 Saturday 星星看的第一场电影。对于离火车头早已遥远的现代生活，不知道孩子们是否能够理解。不过能不吵不闹看完，看来还是很吸引他的。
        ",托马斯大电影之了不起的比赛 短评,包包,https://www.douban.com/people/shuiqi/,推荐,"
                    2017-09-25
                ",0
" 一直不喜欢这个动漫形象（单指画风），但是故事啊角色塑造都不错。
        ",托马斯大电影之了不起的比赛 短评,张菩菩,https://www.douban.com/people/2044324/,推荐,"
                    2017-10-01
                ",0
" 以为开头是国庆档期强行植入的主旋律爱国主义教育，突兀累赘对故事全无帮助。关于做好自己的主题对三岁小孩确有现实的教育意义，这也是有33年历史的托马斯系列长盛不衰的法宝，电影版继续发扬光大。最让人惊喜的是歌舞片的设计，旋律悦耳动听，又与迪士尼的音乐卡通有所区别。
        ",托马斯大电影之了不起的比赛 短评,woodyfalchion,https://www.douban.com/people/46240088/,还行,"
                    2017-10-04
                ",0
" 其实还蛮有意思的，就是太短了
        ",托马斯大电影之了不起的比赛 短评,julie妮妮,https://www.douban.com/people/37824043/,还行,"
                    2017-09-29
                ",0
" 嗯……感觉还没有电视好看，中国火车头强硬植入却没有剧情，让人怀疑是中国特供版。
        ",托马斯大电影之了不起的比赛 短评,羊男,https://www.douban.com/people/suzichong/,还行,"
                    2017-09-24
                ",0
,托马斯大电影之了不起的比赛 短评,,,,,
,托马斯大电影之了不起的比赛 短评,,,,,
" 加勒比海盗扑街了，中土世界完结了。各位都懂的
        ",极致追击 短评,Youth帽仙,https://www.douban.com/people/142263059/,很差,"
                    2017-09-11
                ",251
" 好久没看到这么烂的片了。影厅里都是按耐不住的吐槽和尴尬的笑声。电影里的每个人都蠢得叹为观止。尤其是没想到开花已经沦落至此。唉。这样的电影的存在，就是对所有参与者的羞辱，是他们职业生涯的污点。
        ",极致追击 短评,香水瓶,https://www.douban.com/people/Jane_1-29/,很差,"
                    2017-09-29
                ",210
" WTF！！！冒充好莱坞的国产山寨片！莫名其妙完全不知所云！最奇葩的是明明都是中国人全片却有80％的对白是英文！看得老子想骂人！这TM不是洗钱片吗？@虎头岩博纳
                
                ",极致追击 短评,慢先森,https://www.douban.com/people/mr.slow/,很差,"
                    2017-09-26
                ",228
" 太难看了太难看了，每一个角色每一个人每一句台词都宛若智障一般。太特么难看了。还有一个小时我受不了了我要哭了。
        ",极致追击 短评,糖糕儿,https://www.douban.com/people/52489598/,很差,"
                    2017-09-30
                ",149
" 国庆档最大笑话。投资有相当一部分拿给开花当片酬了吧？极其寒酸硬充大片，场景美术low到爆，局限在破房子破街道、餐厅、夜总会，作为护宝片，民用无人机是片里最牛“高科技”了...剧情各种低能，反转用屁股能猜到，台词更可怕，熊黛林和装逼大boss梁静剑拔弩张还大谈信不信真爱，编导脑子有坑吗？2/10
        ",极致追击 短评,瓦力,https://www.douban.com/people/cyrus_wong/,很差,"
                    2017-09-29
                ",165
" 为了解锁反派的苹果手机，任达华就把坏人的手指剁了下来。试问如果用的是IPHONEX，岂不是要扒下人家整张脸？英美德中加南非的配乐师，混搭出这么套路的夺宝故事，中间还穿插了无人机试用体验、花样跳绳外景VCR。所有动作戏都软绵绵的，怀疑为了节省成本，吴磊几乎没有同框，没去伦敦是因为预算不够吧。
        ",极致追击 短评,西楼尘,https://www.douban.com/people/xilouchen/,很差,"
                    2017-09-26
                ",131
" 三石弟弟 希望你上了大学能够有一个好的团队来谈合作 别啥片都接 团队脑残吧 看有大牌就以为能是好片 稀烂
        ",极致追击 短评,憾生,https://www.douban.com/people/155209672/,较差,"
                    2017-09-30
                ",161
" 真难看啊，每个人都在努力耍帅装酷，各种十几年前的老套情节，每场戏都显得特别拖沓，关键是每个主角还都演的特别认真，这种片硬放在这个档期注定会是炮灰吧…另外，这部电影的中国人里英文讲的最好的竟然是戏份极少的英达…
        ",极致追击 短评,痞影人科莱昂,https://www.douban.com/people/pirealwei/,很差,"
                    2017-09-30
                ",83
" 中国的投资人可能实在太好骗了吧，强行冒充好莱坞电影，实际上就是中国投资方找来国外流水线团队制作的一部残次品。剧情山寨，故事敷衍，角色没有正常的行为逻辑，全片充斥着多不胜数的尬点，导演压根就不理解中国文化，梁静的造型简直雷人，精灵王子是有多差钱接这样的烂戏，其他演员更是呵呵，烂爆了
        ",极致追击 短评,搬砖侠,https://www.douban.com/people/zhangfan187/,很差,"
                    2017-09-25
                ",103
" 开花今年真是大陆观众的好朋友啊，这部电影不是他的底线，不信你们像我一样去看看《逆袭之星途璀璨》
        ",极致追击 短评,刘十九,https://www.douban.com/people/4901199/,很差,"
                    2017-09-30
                ",107
" 伪大片，整个制作粗糙得要命，老套的剧情，莫名奇妙的故事。作为一部夺宝犯罪题材，打斗不精彩，追逐不精彩，装备不精彩。冯德伦前阵子那片都秒本片100条街。整个故事既不紧张也不吸引人，无趣到爆。只有暗瞎眼的伪3d。以及，片头是不是没导演，只看到制片人名字好大。
        ",极致追击 短评,桃桃淘电影,https://www.douban.com/people/qijiuzhiyue/,很差,"
                    2017-10-01
                ",62
" 任达华一如既往的黑道大哥形象，耍狠之余不忘卖萌，吴磊也依旧是机灵的黑客少年。昆凌则突破甜美形象，变身暴力打女，精灵王子跌落凡尘，成了诸事不顺的loser。大Boss梁静，在片中屡屡贡献金句。大部分台词为英文，造成了台词略显幼稚的尴尬，演员来自世界各地，默契度不是很好，很出戏
        ",极致追击 短评,一口吃掉小蛋糕,https://www.douban.com/people/cheesecakehouse/,还行,"
                    2017-09-27
                ",153
" 技术层面其实已经做的不错了，但里子太差了，关键还是故事不够好，没新意，打斗和追击场面也都不够精彩刺激。感觉外景上有点像在拍上海城市宣传片，确实够美，所以叫“极致追击之爱在上海”也不错。
        ",极致追击 短评,方枪枪,https://www.douban.com/people/yalindongdong/,较差,"
                    2017-09-30
                ",36
" 本来是想去看男神开花的，结果看到国产电影这几个字瞬间产生了怀疑，看到分数后我哭了，男神也在国内烂片的片酬诱惑下屈服了，男神，你缺钱，我养你呗？
        ",极致追击 短评,AdaWang,https://www.douban.com/people/adakenndy/,很差,"
                    2017-10-01
                ",25
" 为什么中国人和中国人要用英文交谈？？熊黛林笑得太做作了吧，iPhone改密码要输密码的你知道吗？？？总体来说就是太中规中矩了。
        ",极致追击 短评,椅子上的男人,https://www.douban.com/people/98242689/,较差,"
                    2017-09-30
                ",19
" 我连两颗星都不想给，槽点太多，通篇都是剧情和人设的BUG，当然最不能忍的还是一群中国演员操着一口“流利”的英语对戏，简直就是灾难级
        ",极致追击 短评,Somnambulist,https://www.douban.com/people/78426497/,很差,"
                    2017-09-30
                ",22
" 连一向很酷的任达华都土得不行……
        ",极致追击 短评,Icilian,https://www.douban.com/people/liuchuanzi/,很差,"
                    2017-09-30
                ",30
" 平庸都算不上
        ",极致追击 短评,黑色幻想,https://www.douban.com/people/3395613/,很差,"
                    2017-09-27
                ",28
" 跻身于国庆档的伪大片，可以说是无人机的大型硬广了...演到一大半的时候，任达华说“如果好好送那个花瓶 就没这么多事了”--总结得真好！“吴磊颜可吃，开花颜可吃”的情况下还是看得我昏昏欲睡，(看了眼Orlando的未来作品列表也是感到揪心...)另：我的笑点都被“武则天”梁静给承包了...
        ",极致追击 短评,基瑞尔,https://www.douban.com/people/stevecarell/,较差,"
                    2017-09-30
                ",6
" 这样的片就别尬谈爱和时间的意义了，熊黛林让人无语，精灵王子都染了一身土腥气，吴磊被高估了，要是换了现在这几个流量小生演估计要被骂死，唯一没想到的是梁静英语说得倒挺纯正
        ",极致追击 短评,姐姐,https://www.douban.com/people/howaboutpuss/,很差,"
                    2017-09-30
                ",23
" 个人认为比夏洛更有层次，马丽简直喜剧界斯大林，笑声是制裁性的
        ",羞羞的铁拳 短评,辣眼看电视,https://www.douban.com/people/151784886/,推荐,"
                    2017-09-30
                ",4310
" 开心麻花回归纯粹的喜剧路线，马丽出场一开口就忍不住笑了…变身后进入女浴室的狂欢，达到全片最高潮，“好运来”莫名的喜庆，吴良太帅！2017版《你的名字》+《摔跤吧爸爸》+《激战》。“是不是有种恍然大明白的感觉？”哈哈哈…
        ",羞羞的铁拳 短评,影志,https://www.douban.com/people/tjz230/,推荐,"
                    2017-09-26
                ",2637
,极致追击 短评,,,,,
,极致追击 短评,,,,,
" 十一档票房冠军！比「夏洛特」好，马丽表演真的很厉害！要说Bug，可能就是拜师学艺后，练了那么久拳击的艾伦怎么还是一肚子囊肉，完全不符合人设呀....
        ",羞羞的铁拳 短评,朝阳区白百合,https://www.douban.com/people/50060410/,还行,"
                    2017-09-19
                ",2223
" 事实证明，只要价值观不歪，开心麻花的喜剧还是很上乘的
        ",羞羞的铁拳 短评,刘十九,https://www.douban.com/people/4901199/,推荐,"
                    2017-09-30
                ",2371
" 始终没办法喜欢开心麻花的电影，满场尴尬到不行。甚至在身体互换梗这个题材里，也不算特别突出的，笑点的打磨程度，远不如夏洛特，虽然那部也挺奇怪的。开心麻花的问题始终是，你能感觉到他们卖力在演，一直出戏。
        ",羞羞的铁拳 短评,桃桃淘电影,https://www.douban.com/people/qijiuzhiyue/,还行,"
                    2017-10-01
                ",1076
" 抱着打三颗星的预期看的，没想到这电影给了我五颗星的惊喜。真的好看，把反转运用到极致，笑点密集，差点笑断气。好电影能说服你吃下一切剧情，性转CP我吃下了，两个中年大老爷卖腐我吃下了，连杀马特耍帅我也吃下了……马丽太帅了，沈腾帅不过三秒，全片都很酷，燃得我都想去打拳了。
        ",羞羞的铁拳 短评,小烨,https://www.douban.com/people/3984361/,力荐,"
                    2017-09-27
                ",1780
" 剧情老人设老桥段老，但是没耽误好笑，男主演得居然真可以，娘得自然娘得清新，有的角度还有点像盗版李易峰。鼓励性四星
        ",羞羞的铁拳 短评,黄青蕉,https://www.douban.com/people/sakimay/,推荐,"
                    2017-09-26
                ",1358
" 太可怕了。周围所有人笑到抽筋癫狂背过气儿，然后我在中间看着银幕像个傻逼，史上观影经历最魔幻现实的一次。
        ",羞羞的铁拳 短评,杨欢喜Metiche,https://www.douban.com/people/metiche/,很差,"
                    2017-09-30
                ",715
" 薛皓文和樊野长得一毛一样！！！
        ",羞羞的铁拳 短评,海边的卡夫卡,https://www.douban.com/people/zcs1222/,还行,"
                    2017-09-30
                ",512
" 没有生硬的堆砌网络段子，没有尴尬的零演技小花鲜肉，没有像群英会一样请大牌演员客串......也许开心麻花没有做的特别优秀，但是犯的错误比同行少，就已经成功了一半吧。长评：https://movie.douban.com/review/8835503/
        ",羞羞的铁拳 短评,大海里的针,https://www.douban.com/people/65569388/,推荐,"
                    2017-09-26
                ",1087
" 大失所望，连这种身份互置喜剧的平均水准都达不到，所谓演过好几百场、千锤百炼的笑点全都是廉价无聊老掉牙的性笑话和周星驰。亏得马丽和艾伦老师的演技撑场啊，否则就是一星的货。对了，再重申一遍，驴得水不是开心麻花的作品。
        ",羞羞的铁拳 短评,m89,https://www.douban.com/people/duzhouchi/,较差,"
                    2017-09-30
                ",532
" 尹正那五秒客串太令人心痛了！已经从一剪梅变成一剪肥了！
        ",羞羞的铁拳 短评,王大根,https://www.douban.com/people/diewithme/,推荐,"
                    2017-09-30
                ",526
" 开心麻花的东西说实话，不叫电影
        ",羞羞的铁拳 短评,马田史高,https://www.douban.com/people/59025385/,很差,"
                    2017-09-14
                ",477
" 非常老套也非常尴尬的喜剧，真的受不了沈腾夸张的表情，不，是所有演员夸张的表情
        ",羞羞的铁拳 短评,小时候可牛B了,https://www.douban.com/people/56055715/,较差,"
                    2017-09-30
                ",486
" 全程保持尴尬又不失礼貌的微笑
        ",羞羞的铁拳 短评,我爱罗宾,https://www.douban.com/people/49867478/,2017-09-30 11:00:22,,466
" 6.8/10三星半，真正的喜剧，旁边的导演朋友和周黎明全程都笑岔气了。类型和定位很明确，开心麻花每部电影的背后都是上百场舞台剧的演出经验，剧本的笑点每场都在根据观众的反应在调整，上百场之后绝对是一个笑点密集的喜剧剧本，电影拍起来会容易很多，虽然剧作也偏弱，但已经是这个档期最好喜剧片了。
        ",羞羞的铁拳 短评,二月鸟语,https://www.douban.com/people/p2165/,推荐,"
                    2017-09-22
                ",555
" 只有沈腾的部分好笑，其他部分真是腻歪。主要是这个互换身体的老梗并没什么新花样～还有最致命的是全片审美太low了…
        ",羞羞的铁拳 短评,华盛顿樱桃树,https://www.douban.com/people/49213881/,较差,"
                    2017-09-26
                ",353
" 没有找到哪怕一丝一毫的亮点，一下也没笑出来，十一档看了两部踩了两颗雷，心疼电影票钱
        ",羞羞的铁拳 短评,北瓛,https://www.douban.com/people/FootageMania/,很差,"
                    2017-09-30
                ",303
" 夏洛虽披着扭曲的价值观强行“感动”令人尴尬，索性还有不同凡响的笑料，这次抛弃情怀直接裸奔，预告片将全片笑点一网打尽。娘娘腔梗是主线，人物精分随手就来，变身后缺乏性格转变的挖掘，女主“被利用”这个很关键的节点竟然毫无说明糊弄过去了，情节像其中毫无眼泪的干嚎哭戏一般虚假、无趣、粗糙。
        ",羞羞的铁拳 短评,很爱很爱老咪,https://www.douban.com/people/laomi92/,很差,"
                    2017-09-30
                ",267
" 看了点映。全程笑点不断，而且完全不尬，是真的逗，bgm也都恰到好处，乐的我出了电影院还在回味。大情节上确实有俗套的地方，不过这已经不重要了，重要的是，下了班喝了酒的晚上 看了这样一部电影，觉得轻松又快乐～ 多一星给当天晚上的我们。
        ",羞羞的铁拳 短评,Violin.,https://www.douban.com/people/Viooolin/,力荐,"
                    2017-09-29
                ",498
,羞羞的铁拳 短评,,,,,
,羞羞的铁拳 短评,,,,,
" 首映礼看的。太恐怖了这个电影，不讲道理的，完全就是吴京在实现他这个小粉红的英雄梦。各种装备轮番上场，视物理逻辑于不顾，不得不说有钱真好，随意胡闹
        ",战狼2 短评,俏皮面,https://www.douban.com/people/z286424115/,较差,"
                    2017-07-23
                ",26509
" 吴京的炒作水平不输冯小刚，但小刚至少不会用主旋律来炒作…吴京让人看了不舒服，为了主旋律而主旋律，为了煽情而煽情，让人觉得他是个大做作、大谎言家。（7.29更新）片子整体不如湄公河行动，1.整体不够流畅，编剧有毒，台词尴尬；2.刻意做作的主旋律煽情显得如此不合时宜而又多余。
        ",战狼2 短评,Criminal001,https://www.douban.com/people/59550305/,较差,"
                    2017-07-27
                ",24139
" 15/100吴京的冷峰在这部里即像成龙，又像杰森斯坦森，但体制外的同类型电影，主角总是代表个人，无能的政府需要求助于这些英雄才能解决难题，体现的是个人的价值，所以主旋律照抄这种模式实际上是有问题的。我们以前嘲笑个人英雄主义，却没想到捆绑爱国主义的全能战士更加难以下咽。
        ",战狼2 短评,SELVEN,https://www.douban.com/people/SELVEN/,很差,"
                    2017-07-27
                ",16654
" 凭良心说，好看到不像《战狼1》的续集，完虐《湄公河行动》。PS：我也是醉了，那些说吴京角色打不死的，我想问你们哪部商业动作片没有个人英雄主义的，真为你们感到丢人。
        ",战狼2 短评,谢谢你们的鱼,https://www.douban.com/people/reave/,推荐,"
                    2017-07-23
                ",33956
" 《血战钢锯岭》中国人也会觉得好看，因为它歌颂的宗教情怀是超越政权的；但当你只想歌颂一个政权时，很明显就低了一个层次，甚至充满了现实乃至投机的考量，高下立见
        ",战狼2 短评,古尔齐亚,https://www.douban.com/people/gorfee/,较差,"
                    2017-07-29
                ",12475
" 犯我中华者，一定要诛吗？
        ",战狼2 短评,武侠小王子,https://www.douban.com/people/china-undead/,较差,"
                    2017-07-28
                ",11016
" 赵东来：达康书记，我们接到在非洲卧底的冷锋报告，丁义珍现在非洲，我们请求抓捕。李达康：东来，这件事先不要声张，特别是别让省厅知道，就你和我一起去非洲，加上冷锋同志，三人逮捕丁义珍。这次行就叫战狼2吧
        ",战狼2 短评,盲匪,https://www.douban.com/people/140007986/,力荐,"
                    2017-07-28
                ",15826
" 开篇长镜头惊险大气引人入胜 结合了水平不俗的快剪下实打实的真刀真枪 让人不禁热血沸腾 特别弹簧床架挡炸弹 空手接碎玻璃 弹匣割喉等帅得飞起！就算前半段铺垫节奏散漫主角光环开太大等也不怕 作为一个中国人 两个小时弥漫着中国强大得不可侵犯的氛围 还是让那颗民族自豪心砰砰砰跳个不停。
        ",战狼2 短评,喜悦姑娘的猫儿,https://www.douban.com/people/69475039/,推荐,"
                    2017-07-27
                ",18449
" 下一部拍喜剧吧，整个片子真感觉挺搞笑的
        ",战狼2 短评,二师兄,https://www.douban.com/people/71288514/,较差,"
                    2017-07-26
                ",8733
" 爱国没问题，问题是人们在一部虚构的电影里感叹：祖国真的强大了！——这不是意淫是什么？
        ",战狼2 短评,比河更长更舒缓,https://www.douban.com/people/kingcopushu/,很差,"
                    2017-07-28
                ",7173
" 三星半，实打实的7分。第一集在爱国主旋律内部做着各种置换与较劲，但第二集才真正显露吴京的野心，他终于抛弃李忠志了，新增外来班底让硬件实力有机会和国际接轨，开篇水下长镜头和诸如铁丝网拦截RPG弹头的细节设计都让国产动作片重新封顶，在理念上，它甚至做到《绣春刀2》最想做到的那部分。
        ",战狼2 短评,法兰西胶片,https://www.douban.com/people/flxjp/,推荐,"
                    2017-07-22
                ",14055
" 片头海里那场动作戏看完就呆不下去了，太假太做作，提前离场。
                
                ",战狼2 短评,格拉比,https://www.douban.com/people/2403953/,很差,"
                    2017-07-28
                ",7567
" 说喜欢这部片子的人不是装傻就是真傻，要不是真的没有别的可看肯定是不会选这部的，直男癌到令人发指，所有剧情走向也完全是九十年代那套照搬，审美这件事儿真不是一时半会儿能培养出来的。
        ",战狼2 短评,CobraCB,https://www.douban.com/people/CobraCB/,较差,"
                    2017-07-28
                ",6691
" 开头的水下长对决戏可算华语电影的顶尖存在；驱逐舰、导弹和坦克在商业片里这么狂用也是了得；镜头运用和笑点插入都很好莱坞爆米花，不功不过；从头打到尾是真拼，虽然镜头也有略乱时；因为没啥期望值，所以被吴京的野心吓了一跳；吴刚、于谦和丁海峰老三位像炖烂熟的牛筋，嚼着就舒服。
        ",战狼2 短评,张佳玮,https://www.douban.com/people/zhangjiawei/,推荐,"
                    2017-07-31
                ",7736
" 这部戏让人看的热血沸腾，对吴京路转粉，最后的彩蛋，让我们没有理由不期待下一部。
        ",战狼2 短评,九幽第一少,https://www.douban.com/people/153408545/,推荐,"
                    2017-07-27
                ",12405
" 目瞪狗呆！太瘠薄好看了！中国人牛b就是硬道理！（别再用标记日期骂我了朋友们  北京时间23号晚上首映礼看的我谢谢你们 啊哈哈哈哈哈
                
                ",战狼2 短评,虎哥,https://www.douban.com/people/57460299/,很差,"
                    2017-07-23
                ",4770
" 就是一部爽片，打戏挺燃，但是故事一般。达康书记不合适这个角色，赵东来倒是很合适。张瀚太太太违和了，分分钟穿越回偶像剧。
        ",战狼2 短评,丝米,https://www.douban.com/people/90529771/,较差,"
                    2017-07-27
                ",5622
" 扪心自问这种电影真没法评价，全片靠动作戏撑完，文戏都是扯淡，女主角毫无存在的必要，故事不需要逻辑只要主角开挂，但牛逼之处在于全片都透露着极强烈的爱国主义光环和意识形态枷锁，在祖国面前，一切反动派都是纸老虎，所以战狼一个人开挂团灭一个连都是合情合理的，动作戏还不错，挺用心，两星鼓励
        ",战狼2 短评,搬砖侠,https://www.douban.com/people/zhangfan187/,较差,"
                    2017-07-27
                ",5470
" 吴迪塞尔如入无人之境，7亿大陆直男在这一刻集体勃起。心往一处想，劲往一处使，你就能离开影厅不是个屌丝了？
        ",战狼2 短评,杨清宇,https://www.douban.com/people/47227767/,较差,"
                    2017-07-29
                ",3957
" 心往一处想，劲往一处使，就能实现我们的梦想。看吧，比第一部好太多了。谢谢美队的动作指导。
        ",战狼2 短评,结冰,https://www.douban.com/people/caiyanbin/,还行,"
                    2017-07-26
                ",3949
,战狼2 短评,,,,,
,战狼2 短评,,,,,
" 这片配大张伟真是绝配！抄袭圈的银河战舰啊！
        ",钢铁飞龙之再见奥特曼 短评,创造者1412,https://www.douban.com/people/56328904/,很差,"
                    2017-10-01
                ",241
" 首先，这不是特摄片，而是动画片。然后，奥特曼基本打酱油，主角是特么的什么铁甲飞龙。第三，动画制作非常糟糕，简单且黑糊糊一片。剧情也非常傻逼，角色们全程嘴炮讲人生哲学，小朋友都看到全程打滚。配音很厉害，几个飞龙战士连合体唱词都喊不齐，可以的。大张伟老师声音辨识度极高，很出戏。
        ",钢铁飞龙之再见奥特曼 短评,桃桃淘电影,https://www.douban.com/people/qijiuzhiyue/,很差,"
                    2017-10-02
                ",145
" 非常恶心的作品。还能锁分不给人看？
        ",钢铁飞龙之再见奥特曼 短评,大世界之王,https://www.douban.com/people/140382106/,很差,"
                    2017-09-29
                ",147
" 这还不叫抄袭？
        ",钢铁飞龙之再见奥特曼 短评,海豚小北,https://www.douban.com/people/71918561/,很差,"
                    2017-10-01
                ",145
" 烂糊奥特曼：我是农民的儿子，穷怕了
        ",钢铁飞龙之再见奥特曼 短评,爱你，小姐姐,https://www.douban.com/people/153122149/,很差,"
                    2017-10-01
                ",93
" 现在中国的电影吃相都这么难看了吗？拿着抄来的东西说“我们没有侵权，这是我们的原创国产电影”，这么侮辱观众的智商是要有报应的，所谓的版权来源都在泰国蹲大牢啊，好意思说是正版授权？还有，你管那玩意儿叫奥特曼？
        ",钢铁飞龙之再见奥特曼 短评,飞翔的亨德森,https://www.douban.com/people/120229461/,很差,"
                    2017-10-01
                ",76
" 回应猫小样儿：你孩子要维护正义是好事，但别忘了，侵权是一件与正义相反的事情。我完全没有发现圆谷株式会社的名字。
        ",钢铁飞龙之再见奥特曼 短评,七月在野,https://www.douban.com/people/159493588/,很差,"
                    2017-10-01
                ",60
" 别给奥特曼抹黑，大张伟我这么说吧，低俗无下限
        ",钢铁飞龙之再见奥特曼 短评,rafeal,https://www.douban.com/people/84666095/,很差,"
                    2017-10-01
                ",145
" 无耻到这种地步
        ",钢铁飞龙之再见奥特曼 短评,淡夏轨迹,https://www.douban.com/people/42532242/,很差,"
                    2017-10-01
                ",142
" 今天刚带孩子去电影院看了，孩子很高兴，对我说，以后也要像奥特曼一样惩恶扬善。所以在我看到网上那么多谩骂这部电影的时候，我想多说一句，这部电影本来就是给小朋友看的，那些成年人你们看过没，就随波逐流乱写评价。
孩子看的高兴，我觉得就够了，不需要什么大道理可讲！
        ",钢铁飞龙之再见奥特曼 短评,猫小样儿,https://www.douban.com/people/huangjx1030/,推荐,"
                    2017-10-01
                ",155
" 不尊重版权
                
                ",钢铁飞龙之再见奥特曼 短评,😻猫球球,https://www.douban.com/people/cocomademoisell/,很差,"
                    2017-10-01
                ",109
" 赵部长，你变了，你竟然拿那两个亿去拍电影
        ",钢铁飞龙之再见奥特曼 短评,Lovemoo,https://www.douban.com/people/144804999/,很差,"
                    2017-10-01
                ",40
" 恕我直言，打一星以上的都是辣鸡
        ",钢铁飞龙之再见奥特曼 短评,已重置,https://www.douban.com/people/163725702/,很差,"
                    2017-10-05
                ",0
" 比什么《十万个冷笑话》好看多了
        ",钢铁飞龙之再见奥特曼 短评,临冬城的狮子,https://www.douban.com/people/131719688/,还行,"
                    2017-10-01
                ",19
" 。。。为何不请些专业配音演员，而请些配得一塌糊涂的明星呢？
        ",钢铁飞龙之再见奥特曼 短评,权鸡鸡_,https://www.douban.com/people/leonislyu/,很差,"
                    2017-10-01
                ",47
" 带着小盆友一起看的这部电影，非常棒，小孩听说看电影，那是老喜欢了，哈哈，奥特曼也让我找到了我的童年，和邻居的小伙伴打打闹闹，聚在一起无忧无虑的日子。真的好怀念那段岁月，现在长大了，忧愁多了，偶尔看个电影轻松一下～p.s.大张伟不错，配得很棒，赞呢
        ",钢铁飞龙之再见奥特曼 短评,韦小宝me,https://www.douban.com/people/27521612/,推荐,"
                    2017-10-01
                ",380
" 再见奥特曼
        ",钢铁飞龙之再见奥特曼 短评,一粒米,https://www.douban.com/people/guoyeh/,很差,"
                    2017-10-01
                ",45
" 真的是，奥特曼本人…另外，怪兽的吼声，也是哥斯拉本音…
        ",钢铁飞龙之再见奥特曼 短评,法兰西胶片,https://www.douban.com/people/flxjp/,2017-09-24 21:03:41,,28
" 值得共享《汽车人总动员》在我这里的打分待遇，以及，某个配音和这部电影真是相得益彰，杨洋的油腻是菜籽油，这个人的油腻是猪油
        ",钢铁飞龙之再见奥特曼 短评,indicent time,https://www.douban.com/people/51061132/,很差,"
                    2017-10-03
                ",25
