commenter_co,commenter_movie,commenter_name,commenter_page,commenter_star,commenter_time,commenter_zan
" 除了鸽子，没啥其他亮点
        ",理查大冒险 短评,拓海潮汐,https://www.douban.com/people/tuohaichaoxi/,还行,"
                    2017-06-27
                ",1
" 剧情很简单，适合小朋友看，BGM特别棒，画面制作也非常走心，不太喜欢那个自大狂妄无礼的小麻雀。看动画片竟然遇到了制片人出现在电影节现场，真是没想到，小朋友上台提问直接飙英语~吓得我赶紧跑了。
        ",理查大冒险 短评,北欧海盗,https://www.douban.com/people/gbg/,还行,"
                    2017-06-25
                ",1
" 鹦鹉那条线完全可以不要
        ",理查大冒险 短评,阿卡,https://www.douban.com/people/1028544/,推荐,"
                    2017-10-02
                ",0
" 剧情一般般，不过小鸟很可爱，小朋友看看还不错
        ",理查大冒险 短评,念念,https://www.douban.com/people/155072633/,2017-07-24 23:37:24,,0
" 稀松平常的温情动画，没有什么特别的亮点。两星半。
        ",理查大冒险 短评,梁颂华,https://www.douban.com/people/lsh1/,还行,"
                    2017-09-30
                ",0
" 挺好看的，适合小孩子
        ",理查大冒险 短评,小陈小新,https://www.douban.com/people/HP20275454/,推荐,"
                    2017-09-26
                ",0
" 故事挺有趣，小鸟挺可爱，适合小朋友看。
        ",理查大冒险 短评,飘渺,https://www.douban.com/people/159952097/,还行,"
                    2017-07-24
                ",0
" 一般般，适合小孩子看，主角我怎么觉得是猫头鹰呢太出彩了
                
                ",理查大冒险 短评,兔玛丽,https://www.douban.com/people/tumary/,较差,"
                    2017-09-23
                ",0
" 童真 适合小朋友😃
        ",理查大冒险 短评,一只流浪的猪,https://www.douban.com/people/78745944/,较差,"
                    2017-09-23
                ",0
" 大概是要超越自身的极限吧
        ",理查大冒险 短评,荒野十一妹,https://www.douban.com/people/46056151/,还行,"
                    2017-10-02
                ",0
" 和妹妹一起去看的  可爱的小鸟 还会上网   ONLINE 上线了 嘻嘻 很棒的电影  挺不错的
        ",理查大冒险 短评,安安静静,https://www.douban.com/people/43532104/,推荐,"
                    2017-09-29
                ",0
" 我们总在说万事万物的发展都要依照事物自然规律的变化规则，认清我是一个小麻雀，但不代表我去不了非洲。
        ",理查大冒险 短评,我是她铭,https://www.douban.com/people/163445952/,力荐,"
                    2017-08-17
                ",2
" 三观很正，动画效果逼真，很温情，适合小朋友看
                
                ",理查大冒险 短评,peri626,https://www.douban.com/people/57115264/,力荐,"
                    2017-09-25
                ",0
" 里面的鸟上网挺搞笑的
        ",理查大冒险 短评,隔壁老王撒,https://www.douban.com/people/143780974/,推荐,"
                    2017-09-24
                ",1
" 睡过。。。
        ",理查大冒险 短评,望着你的我,https://www.douban.com/people/141459840/,还行,"
                    2017-09-25
                ",0
" 好无聊，哪来的3D，不爆不嗨也不尿
                
                ",理查大冒险 短评,rot or bloom,https://www.douban.com/people/YoGGie/,较差,"
                    2017-09-24
                ",0
" 剧情简介是本宝宝憋出来的。。。当时因为是竞赛片还激动了一小下 仔细一看 呃 故事也就一般吧 给孩子们看还是很不错的
        ",理查大冒险 短评,Ellen汐,https://www.douban.com/people/127080428/,还行,"
                    2017-06-17
                ",1
" 2017上海电影节的参评影片，挺不错的，比最近那些好莱坞“大片”好看。总体比较平，但时不时会冒出个亮点笑点什么的。重要的是，国内动画电影缺少这样一种平和的回归家庭而又不琐碎呆板教条的动画创作。
        ",理查大冒险 短评,艾豆豆,https://www.douban.com/people/f3cn/,推荐,"
                    2017-06-18
                ",0
" 就这样
        ",理查大冒险 短评,糯--茜笛,https://www.douban.com/people/165079511/,还行,"
                    2017-09-20
                ",0
" 个别设定挺搞笑的，例如鸽子在电线上联网上脸书玩游戏，猫头鹰和琪琪的设定也不错，缺点是动画渲染得不够精细，分镜一般般，还是和迪士尼的动画差一截啊
        ",理查大冒险 短评,天堂里的陌生人,https://www.douban.com/people/2718163/,还行,"
                    2017-10-01
                ",0
,理查大冒险 短评,,,,,
,理查大冒险 短评,,,,,
